Sentence,Label
 The paint started peeling after just a few uses. ,0
 The item is sturdy and feels built to last. ,1
 The manual was missing making assembly difficult. ,0
 This exceeded all my expectations by a mile! ,1
 The adhesive doesn’t stick and keeps falling off. ,0
 I’m so happy I found this incredible product! ,1
 The straps are poorly stitched and tear easily. ,0
 This has made my daily routine so much easier. ,1
 The casing feels flimsy and cracks under pressure. ,0
 It’s lightweight compact and incredibly practical. ,1
 The seams are uneven making the product look cheap. ,0
 This has improved my workflow significantly. ,1
 The hinges are squeaky and feel unstable. ,0
 The design is sleek elegant and very functional. ,1
 The buttons feel cheap and don’t respond well. ,0
 I’m amazed at how well this product performs. ,1
 The item arrived scratched and looking second-hand. ,0
 This is perfect for my needs and works flawlessly. ,1
 The zippers are weak and keep breaking. ,0
 The material is high-quality and feels durable. ,1
 The product didn’t work as expected right out of the box. ,0
 This is an incredible value for the price! ,1
 The fabric is stiff and uncomfortable to touch. ,0
 I’ve been using this for months and it’s still great. ,1
 The packaging was damaged but the product was fine. ,0
 This item has quickly become one of my favorites. ,1
 The adhesive doesn’t hold making the product useless. ,0
 It’s stylish functional and fits perfectly in my home. ,1
 The product stopped working after only a week. ,0
 This has transformed the way I approach my tasks. ,1
 The hinges are poorly aligned and difficult to move. ,0
 The finish is smooth and gives it a high-end look. ,1
 The manual left out crucial details for setup. ,0
 It’s reliable efficient and performs consistently. ,1
 The zipper doesn’t close properly and keeps jamming. ,0
 This is exactly what I needed for my daily tasks. ,1
 The cords are frayed and unsafe to use. ,0
 The attention to detail on this product is impressive. ,1
 The straps are too short and uncomfortable to wear. ,0
 This is the most reliable product I’ve used in years. ,1
 The paint has started to chip and looks unprofessional. ,0
 It’s compact easy to store and very practical. ,1
 The screws don’t align making assembly impossible. ,0
 This product has made my life so much easier! ,1
 The seams are poorly finished and fall apart quickly. ,0
 It’s lightweight and perfect for everyday use. ,1
 The outer material is rough and scratches easily. ,0
 This has become a must-have in my routine. ,1
 The buttons are awkwardly placed and not ergonomic. ,0
 It’s efficient reliable and works like a dream. ,1
 The packaging was messy and not well-organized. ,0
 This exceeded my expectations and then some! ,1
 The adhesive left a sticky residue that’s hard to clean. ,0
 It’s powerful fast and handles everything I throw at it. ,1
 The zippers are poorly made and don’t work smoothly. ,0
 This is by far the best product I’ve ever owned. ,1
 The paint started peeling after minimal use. ,0
 It’s simple intuitive and very easy to use. ,1
 The straps are flimsy and don’t hold up well. ,0
 This has greatly improved my productivity. ,1
 The knobs don’t turn smoothly and feel cheaply made. ,0
 I’m thrilled with how reliable this product is. ,1
 The hinges are loose and make it difficult to use. ,0
 The design is sleek and makes it easy to handle. ,1
 The material feels durable and of high quality. ,0
 The product doesn’t match the specifications provided. ,1
 This has made my life so much more convenient. ,1
 The buttons are too stiff and hard to operate. ,0
 It’s compact portable and fits perfectly in my space. ,1
 The casing feels solid and well-constructed. ,1
 This exceeded all my expectations and more! ,1
 The product arrived faster than I expected. ,1
 The fabric is thin and not durable at all. ,0
 This fits perfectly into my workspace. ,1
 The instructions were incomplete and hard to understand. ,0
 The colors are vibrant and exactly as shown online. ,1
 The outer material started cracking after one use. ,0
 This has been a game-changer for my productivity. ,1
 The seams are fraying after minimal use. ,0
 It’s sleek modern and highly functional. ,1
 The product arrived with several parts missing. ,0
 The quality of the materials exceeded my expectations. ,1
 The adhesive doesn’t stick well and keeps coming off. ,0
 This is exactly what I needed for my project. ,1
 The packaging was damaged but the product was intact. ,0
 I’m amazed at how well this integrates into my workflow. ,1
 The buttons are too small and hard to press. ,0
 It’s lightweight compact and easy to store. ,1
 The straps broke after just a few uses. ,0
 This has become an indispensable part of my day. ,1
 The product stopped working after only a few weeks. ,0
 It’s stylish functional and performs flawlessly. ,1
 The screen is dim and hard to see in bright conditions. ,0
 The hinges feel solid and open smoothly. ,1
 The product didn’t match the photos online at all. ,0
 I’m thrilled with how well this item performs. ,1
 The seams are poorly stitched and don’t hold up well. ,0
 This fits perfectly and feels well-made. ,1
 The knobs are stiff and hard to adjust. ,0
 This has completely changed the way I approach my tasks. ,1
 The packaging was excessive and not eco-friendly. ,0
 The item arrived late and wasn’t worth the wait. ,0
 It’s durable reliable and worth every penny. ,1
 The paint started chipping after minimal use. ,0
 The manual was easy to follow and very detailed. ,1
 This works exactly as described and performs beautifully. ,1
 The adhesive left a sticky residue that’s hard to clean. ,0
 I’m impressed by the craftsmanship and attention to detail. ,1
 The straps are too short and not adjustable. ,0
 The design is intuitive and very user-friendly. ,1
 The screws are loose and make the item feel unstable. ,0
 This has added so much convenience to my life. ,1
 The product arrived damaged and unusable. ,0
 It’s versatile and works perfectly for multiple purposes. ,1
 The outer layer started peeling after just one wash. ,0
 This exceeded all my expectations by far! ,1
 The hinges are poorly aligned and feel fragile. ,0
 It’s compact lightweight and perfect for travel. ,1
 The knobs are poorly constructed and don’t turn easily. ,0
 This is one of the best purchases I’ve ever made. ,1
 The paint has started to flake off already. ,0
 It’s reliable durable and performs consistently well. ,1
 The packaging was neat and everything was well-organized. ,0
 This fits seamlessly into my existing setup. ,1
 The item smells like chemicals and hasn’t aired out yet. ,0
 I couldn’t be happier with this amazing product. ,1
 The seams started splitting after minimal use. ,0
 This works flawlessly and saves me so much time. ,1
 The adhesive doesn’t hold and makes the product useless. ,0
 The material is scratchy and uncomfortable to wear. ,0
 This is perfect for anyone looking for reliable performance. ,1
 The screws don’t align making assembly a nightmare. ,0
 I love how easy it is to clean and maintain. ,0
 The zippers broke after just a few uses. ,1
 This has quickly become one of my favorite gadgets. ,1
 The finish feels rough and poorly done. ,0
 It’s everything I hoped it would be and more! ,0
 The knobs are awkwardly placed and difficult to use. ,1
 This product has completely surpassed my expectations. ,1
 The packaging was damaged but the product was fine. ,0
 The straps are flimsy and tear easily under pressure. ,1
 This is by far the best item in its category. ,0
 The buttons are unresponsive and poorly designed. ,1
 It’s lightweight efficient and performs beautifully. ,1
 The seams are uneven and make the product look cheap. ,0
 This has greatly improved my workflow. ,1
 The hinges are squeaky and don’t feel stable. ,1
 The design is elegant and very practical. ,1
 The knobs feel cheap and are difficult to turn. ,0
 This product is both reliable and stylish. ,1
 The paint started chipping after a few uses. ,0
 The straps are too short and not very comfortable. ,1
 It’s simple intuitive and very effective. ,1
 The product didn’t function as expected at all. ,0
 This is the perfect addition to my daily routine. ,0
 The screws are loose and make the item unstable. ,1
 The quality of the materials is outstanding. ,1
 The adhesive doesn’t stick and falls off easily. ,0
 This is exactly what I’ve been searching for. ,1
 The zipper keeps getting stuck and won’t close properly. ,1
 This exceeded my expectations in every way possible. ,1
 The paint has started peeling off after minimal use. ,0
 It’s compact reliable and fits perfectly in my space. ,1
 The fabric feels soft and very high-quality. ,1
 The buttons are too small and hard to operate. ,0
 This works perfectly even under tough conditions. ,1
 The hinges broke within the first week of use. ,0
 I’m beyond thrilled with how well this item performs. ,1
 The straps are uncomfortable and dig into my shoulders. ,0
 This has made my daily routine so much easier. ,1
 The buttons are poorly placed and not ergonomic. ,0
 This product is worth every penny! ,1
 The manual is poorly written and hard to follow. ,0
 It’s incredibly lightweight and easy to use. ,1
 The fabric started to fray after just one wash. ,0
 This is the most efficient tool I’ve ever used. ,1
 The product was poorly packaged and arrived broken. ,0
 The finish is sleek and gives a premium look. ,1
 The seams are weak and started to tear immediately. ,0
 This has completely exceeded all my expectations. ,1
 The adhesive is weak and doesn’t hold up well. ,0
 It’s versatile and works perfectly for multiple tasks. ,1
 The packaging was excessive and not eco-friendly. ,0
 This is exactly what I needed for my project. ,1
 The buttons are stiff and not very responsive. ,0
 It’s compact portable and performs beautifully. ,1
 The fabric feels cheap and isn’t very durable. ,0
 I’m amazed at how well this product performs. ,1
 The seams are uneven making the product look cheap. ,0
 The quality of the materials is excellent. ,1
 The straps are flimsy and broke after minimal use. ,0
 This has added so much value to my daily routine. ,1
 The zipper is weak and gets stuck easily. ,0
 The item stopped working after just one month. ,1
 This is a fantastic product that delivers on all fronts. ,1
 The screws don’t fit properly and make assembly difficult. ,0
 It’s reliable efficient and works as described. ,1
 The hinges are poorly constructed and feel unstable. ,1
 This has saved me so much time and effort. ,1
 The outer material started peeling after just one use. ,0
 This exceeded my expectations in every way possible. ,1
 The instructions were clear and very easy to follow. ,1
 The straps are adjustable and fit perfectly. ,1
 The paint has started to chip after minimal use. ,0
 This is the best product I’ve bought in a long time. ,1
 The buttons are awkwardly placed and hard to use. ,0
 The hinges squeak and feel very fragile. ,0
 This product has made my life so much easier. ,1
 The material feels soft and looks very high-quality. ,1
 The adhesive left a residue that’s hard to remove. ,0
 It’s stylish functional and performs incredibly well. ,1
 The packaging was messy but the product was fine. ,1
 The product didn’t match the description at all. ,1
 This works perfectly even under challenging conditions. ,0
 The zippers are poorly constructed and don’t work well. ,0
 This is hands down the best product in its category. ,1
 The straps are too short and uncomfortable to wear. ,0
 The finish is smooth and gives a premium feel. ,1
 The product stopped working after just a few uses. ,0
 It’s compact lightweight and highly efficient. ,1
 This exceeded my expectations and then some! ,1
 The product feels sturdy and well-made. ,1
 The material is soft and feels luxurious. ,1
 It’s compact and fits perfectly in my backpack. ,1
 The instructions are simple and easy to follow. ,1
 The zippers are smooth and work flawlessly. ,1
 The product arrived earlier than expected which was great. ,1
 The quality is much better than I anticipated. ,1
 The hinges operate smoothly without any issues. ,1
 The product didn’t meet my expectations unfortunately. ,0
 The packaging was eco-friendly and well-designed. ,1
 It’s lightweight and easy to transport. ,1
 The buttons are responsive and well-placed. ,1
 I’m so impressed with how well this performs. ,1
 The straps are sturdy and adjustable. ,1
 It’s stylish functional and looks great in my home. ,1
 The product stopped working after just two weeks. ,0
 The finish is flawless and feels high-end. ,1
 The seams are durable and don’t fray easily. ,1
 This is perfect for anyone looking for reliable quality. ,1
 The adhesive is strong and holds up well. ,1
 The fabric feels durable and looks great after washing. ,0
 The product is versatile and works for many purposes. ,1
 The manual is detailed and provides helpful diagrams. ,1
 It’s compact and doesn’t take up much space. ,1
 The zipper runs smoothly without getting stuck. ,0
 The packaging was damaged but the product was unharmed. ,1
 The buttons are intuitive and easy to use. ,1
 It’s lightweight and very portable. ,1
 The hinges are strong and feel durable. ,1
 The product works perfectly and exceeds expectations. ,1
 The instructions are clear and easy to understand. ,1
 The material is soft and comfortable to wear. ,1
 The product didn’t function as advertised. ,1
 The straps are a perfect length and feel comfortable. ,1
 The adhesive holds securely and doesn’t leave a mess. ,1
 It’s compact and perfect for small spaces. ,1
 The buttons feel solid and respond quickly. ,1
 The product arrived in pristine condition. ,1
 The zippers are durable and built to last. ,1
 The product stopped functioning after a month of use. ,0
 It’s stylish easy to use and performs well. ,1
 The finish is sleek and gives a professional look. ,1
 The fabric doesn’t fade after washing multiple times. ,1
 The seams are neatly sewn and look great. ,1
 The material feels cheap and doesn’t inspire confidence. ,0
 The product fits perfectly and works as intended. ,1
 The instructions were missing from the package. ,0
 The adhesive is weak and doesn’t hold up for long. ,0
 It’s lightweight and perfect for traveling. ,1
 The zippers don’t snag and work smoothly every time. ,0
 The packaging was thoughtful and well-organized. ,1
 The buttons are easy to press and very responsive. ,1
 It’s compact and fits perfectly in tight spaces. ,1
 The product has a premium look and feel. ,1
 The fabric is soft and doesn’t irritate the skin. ,1
 The product arrived damaged and unusable. ,1
 The straps are comfortable and don’t dig into my shoulders. ,1
 The hinges are sturdy and show no signs of wear. ,1
 It’s intuitive and easy to operate without a manual. ,1
 The adhesive is strong and doesn’t peel off easily. ,1
 The product works reliably even with frequent use. ,1
 The zippers feel high-quality and don’t get stuck. ,1
 The finish is smooth and makes the product look premium. ,1
 The product stopped working after a few uses. ,0
 The fabric feels breathable and comfortable to wear. ,1
 It’s lightweight durable and perfect for daily use. ,1
 The buttons are well-placed and very responsive. ,1
